relseconds,data
24.48,0
24.755,0
25.063,0
25.365,0
25.666,0
25.968,0
26.269,0
26.57,0
26.871,0
27.178,0
27.48,0
27.781,0
28.082,0
28.384,0
28.695,0
29.005,0
29.428,0
29.73,0
30.031,0
30.333,0
30.661,0
30.962,0
31.263,0
31.571,0
31.872,0
32.173,0
32.474,0
32.775,0
33.076,0
33.378,0
33.686,0
33.987,0
34.288,0
34.59,0
34.913,0
35.188,0
35.489,0
35.798,0
36.099,0
36.4,0
36.701,0
37.002,0
37.303,0
37.604,0
37.912,0
38.213,0
38.514,0
38.825,0
39.135,0
39.445,0
39.755,0
40.063,0
40.364,0
40.665,0
40.967,0
41.269,0
41.57,0
41.871,0
42.178,0
42.48,0
42.781,0
43.082,0
43.415,0
43.691,0
43.993,0
44.301,0
44.603,0
44.904,0
45.206,0
45.508,0
45.81,0
46.112,0
46.42,0
46.721,0
47.022,0
47.323,0
47.624,0
47.925,0
48.226,0
48.534,0
48.844,0
49.154,0
49.464,0
49.774,0
50.075,0
50.376,0
50.706,0
51.008,0
51.309,0
51.61,0
51.911,0
52.212,0
52.513,0
52.82,0
53.122,0
53.423,0
53.725,0
54.027,0
54.329,0
54.631,0
54.958,0
55.26,0
55.561,0
55.863,0
56.165,0
56.467,0
56.768,0
57.075,0
57.377,0
57.678,0
57.979,0
58.28,0
58.581,0
58.892,0
59.316,0
59.626,0
59.927,0
60.228,0
60.53,0
60.857,0
61.132,0
61.441,0
61.742,0
62.043,0
62.344,0
62.645,0
62.946,0
63.247,0
63.555,0
63.856,0
64.157,0
64.459,0
64.761,0
65.063,0
65.384,0
65.666,0
65.968,0
66.269,0
66.571,0
66.872,0
67.173,0
67.474,0
67.781,0
68.083,0
68.384,0
68.685,0
68.996,0
69.306,0
69.616,0
70.039,0
70.34,0
70.641,0
70.943,0
71.245,0
71.547,0
71.849,0
72.156,0
72.458,0
72.759,0
73.06,0
73.361,0
73.662,0
73.964,0
74.272,0
74.574,0
74.875,0
75.177,0
75.479,0
75.781,0
76.083,0
76.39,0
76.692,0
76.993,0
77.294,0
77.595,0
77.896,0
78.197,0
78.505,0
78.806,0
79.116,0
79.426,0
79.736,0
80.046,0
80.347,0
80.655,0
80.956,0
81.257,0
81.559,0
81.861,0
82.162,0
82.463,0
82.77,0
83.071,0
83.372,0
83.673,0
83.974,0
84.276,0
84.597,0
84.88,0
85.181,0
85.482,0
85.784,0
86.086,0
86.388,0
86.69,0
86.999,0
87.3,0
87.601,0
87.902,0
88.203,0
88.504,0
88.805,0
89.247,0
89.557,0
89.867,0
90.168,0
90.469,0
90.779,0
91.054,0
91.363,0
91.664,0
91.965,0
92.266,0
92.567,0
92.868,0
93.169,0
93.477,0
93.778,0
94.079,0
94.381,0
94.682,0
94.984,0
95.306,0
95.589,0
95.89,0
96.191,0
96.493,0
96.795,0
97.097,0
97.398,0
97.706,0
98.007,0
98.308,0
98.609,0
98.91,0
99.22,0
99.53,0
99.953,0
100.254,0
100.555,0
100.857,0
101.158,0
101.489,0
101.764,0
102.072,0
102.373,0
102.674,0
102.975,0
103.276,0
103.577,0
103.878,0
104.186,0
104.487,0
104.788,0
105.09,0
105.392,0
105.694,0
106.018,0
106.3,0
106.602,0
