relseconds,data
24.48,-98
24.755,-98
25.063,-94
25.365,-94
25.666,-94
25.968,-94
26.269,-94
26.57,-94
26.871,-94
27.178,-93
27.48,-93
27.781,-93
28.082,-93
28.384,-93
28.695,-93
29.005,-93
29.428,-91
29.73,-91
30.031,-91
30.333,-91
30.661,-91
30.962,-91
31.263,-91
31.571,-91
31.872,-91
32.173,-91
32.474,-91
32.775,-91
33.076,-91
33.378,-91
33.686,-91
33.987,-91
34.288,-91
34.59,-91
34.913,-91
35.188,-91
35.489,-91
35.798,-90
36.099,-90
36.4,-90
36.701,-90
37.002,-90
37.303,-90
37.604,-90
37.912,-92
38.213,-92
38.514,-92
38.825,-92
39.135,-92
39.445,-92
39.755,-92
40.063,-92
40.364,-92
40.665,-92
40.967,-92
41.269,-92
41.57,-92
41.871,-92
42.179,-92
42.48,-92
42.781,-92
43.082,-92
43.416,-92
43.691,-92
43.993,-92
44.301,-91
44.603,-91
44.904,-91
45.206,-91
45.508,-91
45.81,-91
46.112,-91
46.42,-90
46.721,-90
47.022,-90
47.323,-90
47.624,-90
47.925,-90
48.226,-90
48.534,-92
48.844,-92
49.154,-92
49.464,-92
49.774,-92
50.075,-92
50.376,-92
50.706,-90
51.008,-90
51.309,-90
51.61,-90
51.911,-90
52.212,-90
52.513,-90
52.82,-90
53.122,-90
53.423,-90
53.725,-90
54.027,-90
54.329,-90
54.631,-90
54.958,-91
55.26,-91
55.561,-91
55.863,-91
56.165,-91
56.467,-91
56.768,-91
57.075,-91
57.377,-91
57.678,-91
57.979,-91
58.28,-91
58.581,-91
58.892,-91
59.316,-91
59.626,-91
59.927,-91
60.228,-91
60.53,-91
60.857,-91
61.132,-91
61.441,-92
61.742,-92
62.043,-92
62.344,-92
62.645,-92
62.946,-92
63.247,-92
63.555,-91
63.856,-91
64.157,-91
64.459,-91
64.761,-91
65.063,-91
65.384,-91
65.666,-91
65.968,-91
66.269,-91
66.571,-91
66.872,-91
67.173,-91
67.474,-91
67.781,-90
68.083,-90
68.384,-90
68.685,-90
68.996,-90
69.306,-90
69.616,-90
70.039,-92
70.34,-92
70.641,-92
70.943,-92
71.245,-92
71.547,-92
71.849,-92
72.156,-92
72.458,-92
72.759,-92
73.06,-92
73.361,-92
73.662,-92
73.964,-92
74.272,-89
74.574,-89
74.875,-89
75.177,-89
75.479,-89
75.781,-89
76.083,-89
76.39,-90
76.692,-90
76.993,-90
77.294,-90
77.595,-90
77.896,-90
78.197,-90
78.505,-90
78.806,-90
79.116,-90
79.426,-90
79.736,-90
80.046,-90
80.347,-90
80.655,-88
80.956,-88
81.257,-88
81.559,-88
81.861,-88
82.162,-88
82.463,-88
82.77,-88
83.071,-88
83.372,-88
83.673,-88
83.974,-88
84.276,-88
84.597,-88
84.88,-88
85.181,-88
85.482,-88
85.784,-88
86.086,-88
86.388,-88
86.69,-88
86.999,-88
87.3,-88
87.601,-88
87.902,-88
88.203,-88
88.504,-88
88.805,-88
89.247,-89
89.557,-89
89.867,-89
90.168,-89
90.469,-89
90.779,-89
91.054,-89
91.363,-89
91.664,-89
91.965,-89
92.266,-89
92.567,-89
92.868,-89
