#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 16382, 1,KE9ERI,    -1.95, -97,   8, 3,   boost,   -0.00,  90822.00,  913.46,    0.82,    0.00, 41.0, 8.09, 8.09, 3.95,   9.81,   0.33,   0.75,   0.18,   0.24,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474871,-103.5271495,   892.0, 2026,  6, 19,  0, 32, 23,        0,        0, 344,   0,   1.0,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -1.92, -97,  11, 3,   boost,   -0.00,  90822.00,  913.46,    0.82,    0.00, 41.0, 8.09, 8.09, 3.95,   9.81,   0.33,   0.75,   0.18,   0.24,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474871,-103.5271495,   892.0, 2026,  6, 19,  0, 32, 23,        0,        0, 344,   0,   1.0,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -1.15, -93,   9, 3,   boost,   -0.00,  90822.00,  913.46,    0.82,    0.00, 41.0, 8.09, 8.09, 3.95,   9.81,   0.33,   0.75,   0.18,   0.24,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271492,   892.0, 2026,  6, 19,  0, 32, 25,        0,        0,  90,   0,   1.0,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -0.94, -97,   8, 3,   boost,    0.49,  90835.00,  912.28,   -0.36,    0.09, 41.0, 8.09, 8.09, 3.95,   9.80,   0.27,   0.88,   0.18,  -0.12,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271492,   892.0, 2026,  6, 19,  0, 32, 25,        0,        0,  90,   0,   1.0,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -0.91, -97,  10, 3,   boost,    0.49,  90835.00,  912.28,   -0.36,    0.09, 41.0, 8.09, 8.09, 3.95,   9.80,   0.27,   0.88,   0.18,  -0.12,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.15, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271492,   892.0, 2026,  6, 19,  0, 32, 25,        0,        0,  90,   0,   1.0,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -0.14, -87,   7, 3,   boost,    0.49,  90835.00,  912.28,   -0.36,    0.09, 41.0, 8.09, 8.09, 3.95,   9.80,   0.27,   0.88,   0.18,  -0.12,   0.18,   0.61,  -0.16,   0.13,  10.00, 8.15, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,    -0.04, -94,  14, 3,   boost,  106.40,  90726.00,  922.20,    9.55,   47.33, 41.0, 8.09, 8.09, 3.95, 124.36,   5.09,  12.48,  13.73,  -2.99,  20.39,   0.62,  -0.16,   0.12,  10.00, 8.15, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.00,-102,  12, 3,   boost,  106.40,  90726.00,  922.20,    9.55,   47.33, 41.0, 8.09, 8.09, 3.95, 124.36,   5.09,  12.48,  13.73,  -2.99,  20.39,   0.62,  -0.16,   0.12,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.06, -96,  10, 3,   boost,  123.07,  90768.00,  918.37,    5.73,   58.61, 41.0, 8.09, 8.09, 3.95, 131.88,   7.55,   1.20,  32.35,  -9.46,  -3.05,   0.62,  -0.14,   0.12,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.17, -95,  10, 3,   boost,  120.62,  90743.00,  920.65,    8.01,   71.80, 41.0, 8.09, 8.09, 3.95, 133.45,  -4.41,   2.98,  50.23,  13.31,  10.74,   0.62,  -0.12,   0.12,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.20, -95,   8, 3,   boost,  120.62,  90743.00,  920.65,    8.01,   71.80, 41.0, 8.09, 8.09, 3.95, 133.45,  -4.41,   2.98,  50.23,  13.31,  10.74,   0.62,  -0.12,   0.12,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.28, -91,  10, 3,   boost,  124.05,  90706.00,  924.02,   11.37,   85.03, 41.0, 8.09, 8.09, 3.95, 137.88,   0.07,   4.65,  45.65,  -4.52,   4.15,   0.62,  -0.10,   0.11,  10.00, 8.13, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 30, 27, 32,  0,  0,  0,  0, 31, 35, 26,  0,  0,  0,  0, 30,  0,  0,  0,  0,  0,  0,  0,  0,  0, 38, 34,  0, 33,  0,  0,  0, 36
6, 16382, 1,KE9ERI,     0.31, -91,   6, 3,   boost,  124.05,  90706.00,  924.02,   11.37,   85.03, 41.0, 8.09, 8.09, 3.95, 137.88,   0.07,   4.65,  45.65,  -4.52,   4.15,   0.62,  -0.10,   0.11,  10.00, 8.12, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 29, 27, 31,  0,  0,  0,  0, 31, 36, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 37, 34,  0, 31,  0,  0, 21, 36
6, 16382, 1,KE9ERI,     0.31, -90,   7, 3,   boost,  124.05,  90706.00,  924.02,   11.37,   85.03, 41.0, 8.09, 8.09, 3.95, 137.88,   0.07,   4.65,  45.65,  -4.52,   4.15,   0.62,  -0.10,   0.11,  10.00, 8.12, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 29, 27, 31,  0,  0,  0,  0, 31, 36, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 37, 34,  0, 31,  0,  0, 21, 36
6, 16382, 1,KE9ERI,     0.39, -89,   7, 3,   boost,  127.49,  90661.00,  928.11,   15.47,   98.64, 41.0, 8.09, 8.09, 3.95, 141.01,   1.72,   2.93,  39.98,   0.67,   9.95,   0.62,  -0.08,   0.11,  10.00, 8.12, 0.00, 0.00, 0.00, 8.09, 1, 1, 15,  31.0474868,-103.5271494,   892.0, 2026,  6, 19,  0, 32, 26,        0,        0,   0,   0,   0.9,   0.4,   0.8, 29, 27, 31,  0,  0,  0,  0, 31, 36, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 37, 34,  0, 31,  0,  0, 21, 36
